科目区分1,科目区分2,科目名称,配当年次,単位数,DP1-1,DP1-2,DP1-3,DP1-4,DP1-5,DP1-6,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
芸術情報学部専門科目,学部共通科目,音楽基礎論,１,2,◎,,,,,〇,,,,,◎,,,,,◎,,◎,,〇
芸術情報学部専門科目,学部共通科目,画像と映像の基礎,１,2,◎,,,◎,〇,,◎,◎,〇,,,〇,,,◎,,,〇,,◎
芸術情報学部専門科目,学部共通科目,デザインの基礎,１,2,,○,○,◎,◎,○,◎,○,○,,◎,○,○,◎,,◎,,◎,○,
芸術情報学部専門科目,学部共通科目,MIDI演習,１,1,,,,,,◎,,,,,◎,,,,,〇,,◎,,〇
芸術情報学部専門科目,学部共通科目,西洋音楽史Ⅰ,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,西洋音楽史Ⅱ,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,ポピュラー音楽史,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,日本音楽史,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,日本芸能史,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,諸民族の音楽,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,音楽美学,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,空間芸術論,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,美学,１,2,◎,,,,,,,,,,◎,,,,,◎,,◎,〇,〇
芸術情報学部専門科目,学部共通科目,人間と色彩,１,2,◎,〇,,〇,〇,,〇,◎,◎,〇,,〇,,,◎,,,〇,,◎
芸術情報学部専門科目,学部共通科目,映画論,１,2,◎,〇,,◎,〇,〇,◎,◎,〇,,,◎,〇,,〇,〇,◎,,〇,◎
芸術情報学部専門科目,学部共通科目,著作権法,１,2,,,◎,,,,,,,◎,◎,,,◎,,,,〇,◎,〇
芸術情報学部専門科目,学部共通科目,情報法制,１,2,,,,◎,,,,◎,,,◎,,,◎,,,,〇,◎,〇
芸術情報学部専門科目,学部共通科目,音楽企画概論,１,2,,◎,,,〇,,,,,,◎,,,〇,,◎,,◎,,
芸術情報学部専門科目,学部共通科目,舞台芸術運営論,１,2,,◎,〇,,,,,,,〇,◎,,,◎,,,,◎,,
芸術情報学部専門科目,学部共通科目,音楽療法概論,１,2,,,,,◎,,,◎,〇,〇,〇,,,◎,,,,◎,,
芸術情報学部専門科目,学部共通科目,音楽療法演習,１,1,,,,,◎,,◎,〇,〇,,〇,,,◎,,,,◎,,
芸術情報学部専門科目,学部共通科目,ディジタル印刷表現,１,2,,,,,◎,,◎,〇,〇,,〇,,,,,◎,,◎,,
芸術情報学部専門科目,学部共通科目,簿記論,１,2,,,◎,,,,,,,◎,〇,,,◎,,,,〇,◎,
芸術情報学部専門科目,学部共通科目,マーケティングリサーチ,１,2,,,,,◎,〇,,,,,◎,,,,,◎,,◎,,
芸術情報学部専門科目,学部共通科目,マルチメディア制作,２,1,,◎,◎,〇,,〇,,〇,〇,◎,◎,,,,◎,,,,,◎
芸術情報学部専門科目,学部共通科目,ヴィジュアル表現基礎Ⅰ,１,2,○,◎,○,,,◎,,◎,○,◎,○,,,,,◎,,○,,◎
