科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
総合政策学科専門科目,基本科目（基礎科目）,基礎演習Ⅰ,1,〇,〇,〇,◎,,,◎,,,○,,◎,○,○,,,,○,〇,◎
総合政策学科専門科目,基本科目（基礎科目）,基礎演習Ⅱ,1,〇,〇,〇,◎,,,◎,,,○,,◎,○,○,,,,○,〇,◎
総合政策学科専門科目,基本科目（基礎科目）,日本語リテラシーⅠ,1,,◎,,〇,,,◎,,,,,◎,◎,,〇,,,,◎,〇
総合政策学科専門科目,基本科目（基礎科目）,日本語リテラシーⅡ,1,〇,◎,〇,〇,,,◎,,,,,◎,◎,〇,〇,〇,,〇,〇,◎
総合政策学科専門科目,基本科目（基礎科目）,政治学の基礎,1,○,◎,〇,〇,,,◎,,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（基礎科目）,経済学の基礎,1,○,◎,〇,〇,,,◎,,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（基礎科目）,法学の基礎,1,○,◎,〇,〇,,,◎,,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（基礎科目）,総合政策学の基礎,1,○,◎,〇,〇,,,◎,,,,〇,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,行政学Ⅰ,1,◎,○,〇,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,政治学Ⅰ,1,◎,○,〇,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,憲法Ⅰ,1,◎,◎,○,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,憲法Ⅱ,1,◎,◎,○,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,社会福祉Ⅰ,1,◎,,○,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,社会福祉Ⅱ,1,◎,,○,,,,○,◎,,,,◎,○,,,,,〇,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,地方自治論,1,〇,,◎,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,民法Ⅰ,1,◎,◎,,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,刑法,1,◎,◎,○,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,国際法,1,◎,○,〇,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,民法Ⅱ,1,◎,◎,○,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,政治学Ⅱ,1,◎,〇,〇,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,著作権法,1,◎,◎,○,,,,○,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,行政法,2,◎,◎,○,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,政策過程論,2,◎,○,〇,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,公共政策演習,2,◎,○,○,○,,,,◎,,○,○,◎,○,,,,,〇,〇,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,行政学Ⅱ,1,◎,○,〇,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（法律・政治フィールド）,商法（商行為）,2,◎,◎,〇,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,マクロ経済学,1,◎,◎,〇,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,ミクロ経済学,1,◎,◎,○,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,経済政策論,1,◎,○,〇,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,会計学総論,1,◎,◎,〇,,,,〇,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,商業簿記,1,○,◎,〇,,,,〇,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,金融論,1,○,◎,〇,,,,〇,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,企業マネジメント概論,1,◎,○,○,,,,〇,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,マーケティング論,1,◎,〇,○,,,,〇,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,国際経済学,2,◎,〇,〇,,,,,◎,,,,◎,○,,,,○,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,財政論,2,◎,○,○,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,企業会計論,2,◎,○,○,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,経営分析論,2,◎,○,◎,,,,,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,経営組織論,2,◎,○,◎,,,,,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,経営戦略論,2,◎,○,◎,,,,,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,ビジネスプランニング,2,◎,○,◎,,,,,◎,,〇,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（経済・経営フィールド）,会社法,2,◎,◎,〇,,,,,◎,,,,◎,○,,,,,,,◎
総合政策学科専門科目,基本科目（心理・メディア・コミュニケーションフィールド）,コミュニケーション論,1,○,,◎,,,,○,◎,,,,◎,○,,,,,○,,◎
