科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,DP1-5,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
スポーツマネジメント学科専門科目,基礎科目,経済学の基礎,1,〇,,◎,〇,,,◎,〇,,〇,,◎,〇,〇,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,基礎科目,社会学の基礎,1,〇,,◎,〇,,,◎,〇,,〇,,◎,〇,〇,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,基礎科目,法学の基礎,1,〇,,◎,〇,,,◎,〇,,〇,,◎,〇,〇,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,基礎科目,政治学の基礎,1,〇,,◎,〇,,,◎,〇,,〇,,◎,〇,〇,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,基礎科目,文章表現法Ⅰ,1,◎,,〇,〇,,,◎,,,〇,〇,◎,◎,,〇,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,基礎科目,文章表現法Ⅱ,1,◎,,,〇,〇,,◎,,,〇,〇,◎,◎,,〇,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,eスポーツ概論,1,〇,,◎,〇,,,,◎,〇,〇,,○,○,○,◎,,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,コミニティスポーツ論,1,,,〇,◎,◎,,◎,〇,,〇,,〇,◎,,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツイベント概論,1,〇,,◎,〇,,,◎,〇,〇,,,◎,〇,〇,,,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツ映像概論,1,〇,〇,◎,〇,,,,◎,〇,〇,,,〇,〇,◎,〇,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツ経済学,1,〇,〇,◎,〇,,,〇,◎,〇,,,◎,〇,〇,,,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツマネジメント論,1,○,,○,◎,◎,,,◎,○,,○,◎,○,,,○,,〇,○,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,ボランティア論,1,○,,○,◎,,,,◎,○,○,,○,,◎,○,,,◎,○,○
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,eスポーツ文化論,2,◎,,○,○,,,◎,○,○,,,◎,○,○,○,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,アダプテッドスポーツ論,2,,,〇,◎,〇,,,〇,〇,◎,,,,◎,〇,〇,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,会計学,2,〇,,◎,〇,〇,,〇,◎,〇,,,◎,,〇,◎,,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,クラブマネジメント,2,〇,,〇,◎,〇,,,◎,〇,〇,〇,〇,◎,,,〇,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,経営戦略論,2,〇,◎,〇,〇,,,,◎,〇,〇,,◎,〇,〇,〇,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツイベント（スポーツコンテンツ）,2,〇,〇,◎,〇,,,◎,〇,〇,,,◎,〇,〇,,,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツイベント演習,2,,〇,〇,◎,〇,,,,〇,◎,〇,,〇,〇,〇,◎,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツイベント基本（PA基礎）,2,〇,,◎,〇,,,◎,〇,〇,,,〇,,〇,◎,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツ映像表現演習,2,〇,,〇,◎,〇,,,,〇,◎,〇,,〇,〇,◎,◎,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツ映像音響論,2,◎,,〇,〇,,,◎,〇,〇,,,◎,〇,〇,〇,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツ施設マネジメント論,2,◎,,〇,〇,,,〇,◎,〇,,,◎,〇,,〇,,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツジャーナリズム論,2,,,○,○,◎,,○,,,○,◎,○,○,,,◎,,○,○,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツとメディア,2,,,○,○,◎,,○,○,◎,,,○,○,,,◎,,○,○,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,スポーツビジネス論Ⅰ,2,○,,◎,○,○,,○,◎,,○,,◎,○,,,○,,○,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,ビジネスプランニング,2,,〇,◎,〇,〇,,,〇,〇,◎,,〇,◎,〇,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,マーケティング論,2,〇,,◎,〇,,,〇,◎,〇,,,◎,〇,,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,まちづくり政策論,2,〇,〇,◎,〇,,,〇,◎,〇,,,◎,〇,〇,,,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（ビジネス・産業）,幼児体育論,2,〇,,◎,〇,,,◎,〇,〇,,,◎,〇,〇,,,,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,機能解剖学,1,◯,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,健康教育法,1,,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,現代スポーツ概論,1,,,◎,○,○,,◎,○,○,,,○,○,,,◎,,○,○,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,コーチング論,1,◯,,◯,◎,◯,,◯,◯,,◎,,◯,,◯,,◎,,◯,◯,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,食と健康,1,◎,,◯,◯,,,◎,◯,◯,,,◎,◯,◯,,,,◯,◯,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツアナリスト概論,1,,,◎,〇,〇,,◎,,,〇,〇,◎,〇,,〇,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ教育論,1,◎,◯,◯,◯,,,,,,,,◎,〇,◎,,,,〇,◎,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ史,1,,,◎,〇,〇,,◎,〇,〇,,,◎,〇,〇,,,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ生理学,1,◯,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,トレーニング論,1,〇,,◎,〇,,,◎,〇,〇,,,◎,,〇,〇,〇,,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,公衆衛生学,2,◯,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ医学（整形外科）,2,◯,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ医学（内科）,2,◯,,◎,〇,〇,,◎,〇,〇,,,◎,〇,,,,〇,〇,〇,◎
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ社会学,2,,,〇,◎,〇,,,〇,〇,◎,,,〇,,,◎,〇,◎,〇,〇
スポーツマネジメント学科専門科目,スポーツマネジメント基本科目（健康・科学）,スポーツ心理学,2,〇,◎,〇,,,,〇,◎,〇,,,◎,〇,◎,,,,◎,〇,〇
