科目区分1,科目区分2,科目名称,配当年次,単位数,-,-,-,-,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
教養科目,現代社会の教養,現代社会と経済,1,2,,,,,,,◎,,,,,◎,,,,,,,,◎
教養科目,現代社会の教養,現代社会と政治,1,2,,,,,,,◎,,,,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,現代の企業経営,1,2,,,,,,,◎,,,,,◎,○,,,○,,,,◎
教養科目,現代社会の教養,現代の国際社会,1,2,,,,,,,◎,,,,,◎,,,,,,,,◎
教養科目,現代社会の教養,現代社会と知的財産,1,2,,,,,,,◎,,,,,◎,,,,,,,,◎
教養科目,現代社会の教養,現代社会とメディア,1,2,,,,,,,◎,,,,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,心理学の基礎,1,2,,,,,,,◎,,,◯,,◎,◯,◯,,,,◯,,◎
教養科目,現代社会の教養,異文化コミュニケーション,1,2,,,,,,,◎,,,,,◎,◯,◯,,,,◯,,◎
教養科目,現代社会の教養,日本国憲法,1,2,,,,,,,◎,,,◯,,◎,◯,◯,,,,,,◎
教養科目,現代社会の教養,歴史,1,2,,,,,,,◎,,,,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,文学,1,2,,,,,,,◎,,,,,◎,,,,,,,,◎
教養科目,現代社会の教養,美術,1,2,,,,,,,◎,,,◯,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,哲学,1,2,,,,,,,◎,,,,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,考古学,1,2,,,,,,,◎,,,◯,,◎,◯,◯,,,,,,◎
教養科目,現代社会の教養,民俗学,1,2,,,,,,,◎,,,,,◎,,,,,,,,◎
教養科目,現代社会の教養,日本文化史,1,2,,,,,,,◎,,,◯,,◎,◯,,,,,,,◎
教養科目,現代社会の教養,西洋文化史,1,2,,,,,,,◎,,,◯,,◎,◯,,,,,,◯,◎
教養科目,スポーツ,生涯スポーツ論,1,2,,,,,,,◎,◯,,,,◎,◯,,,,,,◯,◎
教養科目,スポーツ,教養スポーツＡ,1,1,,,,,,,◎,,,◯,,,◯,◎,,◯,,◯,◯,◎
